textid,textname,full_text
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
20170203france_attack,В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,"В Париже солдат ранил человека с ножом, пытавшегося проникнуть в Лувр. Об этом сообщает Reuters.По некоторым данным, неизвестный с дорожным чемоданом намеревался пройти в магазин, расположенный под основным зданием. Он вытащил нож и с криком «Аллах акбар» напал на одного из солдат-охранников, но был серьезно ранен пулей другого военнослужащего. Вся прилегающая территория эвакуирована, музей временно закрыт и оцеплен полицией.Министр внутренних дел Франции назвал ситуацию серьезной. По словам главы парижской полиции Мишеля Кадо, отдельные реплики нападавшего позволяют предположить, что он намеревался осуществить теракт. «На месте атаки был также задержан еще один человек, который вел себя подозрительно, но пока связи между ними установить не удалось», — отметил он. По словам Кадо, взрывчатки в чемодане нападавшего не оказалось. Солдат, которого неизвестный пытался зарезать, отделался легкими ранениями.Материалы по теме00:09 14 ноября 2016Париж, пятница, 13-еЧто удалось следствию за год выяснить о терактах в столице ФранцииВ январе 2017 года глава Управления по координации антитеррористической деятельности Лоик Гарнье предупредил, что существует высокая вероятность проникновения в страну 250 боевиков — граждан Франции, сражавшихся в рядах террористической группировки «Исламское государство» (ИГ, запрещена в РФ).Последний теракт во Франции был пресечен в ноябре прошлого года, когда в Марселе и Страсбурге были задержаны семь человек, готовящихся устроить теракты. Среди целей значились парижский Диснейленд, управление полиции французской столицы, штаб-квартира Генеральной дирекции внутренней безопасности (контрразведка) Франции, станции метро и рестораны. Как выяснилось, они получали указания от главарей ИГ."
